Country,Year,Sex,Age,Deaths,Pop
2090,2002,2.0,3,151.0,685813.0
2450,1999,1.0,3,1103.0,7730542.0
2450,1999,2.0,3,886.0,7391697.0
2450,2000,1.0,3,1090.0,7861716.0
2450,2000,2.0,3,856.0,7508434.0
2450,2001,1.0,3,1111.0,7841024.0
2450,2001,2.0,3,891.0,7494569.0
2450,2002,1.0,3,1083.0,7961545.0
2450,2002,2.0,3,827.0,7613883.0
3090,2001,1.0,3,11.0,25000.0
3090,2001,2.0,3,8.0,22700.0
3090,2002,1.0,3,10.0,25100.0
3090,2002,2.0,3,5.0,22900.0
3150,1998,1.0,3,44.0,63800.0
3150,1998,2.0,3,26.0,60300.0
3150,1999,1.0,3,41.0,66000.0
3150,1999,2.0,3,39.0,62600.0
3150,2000,1.0,3,37.0,67862.0
3150,2000,2.0,3,30.0,64347.0
3150,2001,1.0,3,43.0,69433.0
3150,2001,2.0,3,36.0,65684.0
3150,2002,1.0,3,38.0,70418.0
3150,2002,2.0,3,37.0,66589.0
3160,1995,1.0,3,444.0,610200.0
3160,1995,2.0,3,379.0,581400.0
3160,1996,1.0,3,460.0,601000.0
3160,1996,2.0,3,312.0,574000.0
3160,1997,1.0,3,369.0,604000.0
3160,1997,2.0,3,324.0,572000.0
3160,1998,1.0,3,419.0,606000.0
3160,1998,2.0,3,326.0,576000.0
3160,1999,1.0,3,375.0,609000.0
3160,1999,2.0,3,310.0,578000.0
3160,2000,1.0,3,330.0,592634.0
3160,2000,2.0,3,269.0,564570.0
3160,2001,1.0,3,302.0,593000.0
3160,2001,2.0,3,258.0,563000.0
3160,2002,1.0,3,291.0,595000.0
3160,2002,2.0,3,239.0,563000.0
3190,1995,1.0,3,23.0,18100.0
3190,1995,2.0,3,19.0,17000.0
3190,1996,1.0,3,21.0,18800.0
3190,1996,2.0,3,14.0,17600.0
3190,1997,1.0,3,28.0,19400.0
3190,1997,2.0,3,16.0,18100.0
3190,1998,1.0,3,25.0,20385.0
3190,1998,2.0,3,15.0,19496.0
3190,1999,1.0,3,13.0,21200.0
3190,1999,2.0,3,17.0,20200.0
3190,2000,1.0,3,18.0,22032.0
3190,2000,2.0,3,20.0,20856.0
3190,2001,1.0,3,18.0,21481.0
3190,2001,2.0,3,11.0,20574.0
3190,2002,1.0,3,16.0,21489.0
3190,2002,2.0,3,14.0,20595.0
3325,1997,1.0,3,295.0,369100.0
3325,1997,2.0,3,235.0,328400.0
3325,1998,1.0,3,250.0,355400.0
3325,1998,2.0,3,192.0,323600.0
3325,1999,1.0,3,220.0,342000.0
